Annie Cyprus;Nunavut;Office Supplies;SANFORD Liquid Accent™ Tank-Style Highlighters
Carl Ludwig;Nunavut;Technology;Canon PC940 Copier
Carlos Soltero;Nunavut;Office Supplies;Tenex Personal Project File with Scoop Front Design, Black
Grant Carroll;Nunavut;Office Supplies;Col-Erase® Pencils with Erasers
Don Miller;Nunavut;Technology;"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack"
Don Miller;Nunavut;Office Supplies;White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11
Alan Barnes;Nunavut;Office Supplies;Self-Adhesive Address Labels for Typewriters by Universal
Alan Barnes;Nunavut;Technology;Accessory37
Jack Garza;Nunavut;Technology;Fuji 5.2GB DVD-RAM
Julia West;Nunavut;Furniture;Bevis Steel Folding Chairs
Eugene Barchas;Nunavut;Office Supplies;Avery Binder Labels
Eugene Barchas;Nunavut;Furniture;Hon Every-Day® Chair Series Swivel Task Chairs
Eugene Barchas;Nunavut;Office Supplies;"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case"
Edward Hooks;Nunavut;Furniture;Global Troy™ Executive Leather Low-Back Tilter
Brad Eason;Nunavut;Office Supplies;XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal
Nicole Hansen;Nunavut;Office Supplies;Computer Printout Paper with Letter-Trim Perforations
Dorothy Wardle;Nunavut;Technology;6160
Aaron Bergman;Nunavut;Office Supplies;Avery 49
Jim Radford;Nunavut;Office Supplies;Hoover Portapower™ Portable Vacuum
Annie Cyprus;Nunavut;Technology;Timeport L7089
Annie Cyprus;Nunavut;Office Supplies;Avery 510
Annie Cyprus;Nunavut;Office Supplies;Xerox 1881
Annie Cyprus;Nunavut;Technology;LX 788
Annie Cyprus;Nunavut;Office Supplies;Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl
Clay Rozendal;Nunavut;Technology;Memorex 4.7GB DVD-RAM, 3/Pack
Don Jones;Nunavut;Office Supplies;Unpadded Memo Slips
Beth Thompson;Nunavut;Office Supplies;"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages"
Frank Price;Nunavut;Furniture;Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak
Michelle Lonsdale;Nunavut;Technology;Bell Sonecor JB700 Caller ID
Ann Chong;Nunavut;Office Supplies;Avery Arch Ring Binders
Ann Chong;Nunavut;Office Supplies;APC 7 Outlet Network SurgeArrest Surge Protector
Joy Bell;Nunavut;Furniture;Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting
Joy Bell;Nunavut;Technology;Accessory4
Skye Norling;Nunavut;Office Supplies;Personal Creations™ Ink Jet Cards and Labels
Barry Weirich;Nunavut;Office Supplies;High Speed Automatic Electric Letter Opener
Grant Carroll;Nunavut;Office Supplies;Xerox 1966
Grant Carroll;Nunavut;Office Supplies;Xerox 213
Adrian Hane;Nunavut;Office Supplies;Boston Electric Pencil Sharpener, Model 1818, Charcoal Black
Skye Norling;Nunavut;Office Supplies;Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright)
Skye Norling;Nunavut;Office Supplies;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
Andrew Gjertsen;Nunavut;Office Supplies;Crate-A-Files™
Ralph Knight;Nunavut;Office Supplies;Angle-D Binders with Locking Rings, Label Holders
Dorothy Wardle;Nunavut;Technology;80 Minute CD-R Spindle, 100/Pack - Staples
Dorothy Wardle;Nunavut;Furniture;Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled
Dorothy Wardle;Nunavut;Furniture;12-1/2 Diameter Round Wall Clock
Grant Carroll;Nunavut;Furniture;SAFCO Arco Folding Chair
Barry Weirich;Nunavut;Office Supplies;#10 White Business Envelopes,4 1/8 x 9 1/2
Beth Paige;Nunavut;Office Supplies;3M Office Air Cleaner
Sylvia Foulston;Nunavut;Furniture;Global Leather and Oak Executive Chair, Black
Nicole Hansen;Nunavut;Office Supplies;Xerox 1936
Nicole Hansen;Nunavut;Office Supplies;Xerox 214
Nicole Hansen;Nunavut;Office Supplies;Carina Double Wide Media Storage Towers in Natural & Black
Beth Paige;Nunavut;Office Supplies;Staples® General Use 3-Ring Binders
Beth Paige;Northwest Territories;Office Supplies;Xerox 1904
Beth Paige;Northwest Territories;Furniture;Luxo Professional Combination Clamp-On Lamps
Beth Paige;Northwest Territories;Office Supplies;Xerox 217
Beth Paige;Northwest Territories;Office Supplies;Revere Boxed Rubber Bands by Revere
Sylvia Foulston;Northwest Territories;Office Supplies;Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets
Bryan Davis;Northwest Territories;Office Supplies;Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units
Joy Bell;Northwest Territories;Furniture;Hon 4070 Series Pagoda™ Round Back Stacking Chairs
Joy Bell;Northwest Territories;Office Supplies;Xerox 1887
Joy Bell;Northwest Territories;Office Supplies;Xerox 1891
Alan Barnes;Northwest Territories;Office Supplies;Avery 506
Grant Carroll;Northwest Territories;Furniture;Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order
Grant Carroll;Northwest Territories;Furniture;Lifetime Advantage™ Folding Chairs, 4/Carton
Grant Carroll;Northwest Territories;Technology;Microsoft Natural Multimedia Keyboard
Delfina Latchford;Northwest Territories;Office Supplies;"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack"
Don Jones;Northwest Territories;Office Supplies;"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11"""
Doug Bickford;Northwest Territories;Furniture;Bevis Boat-Shaped Conference Table
Doug Bickford;Northwest Territories;Furniture;"Linden® 12"" Wall Clock With Oak Frame"
Doug Bickford;Northwest Territories;Office Supplies;Newell 326
Jamie Kunitz;Northwest Territories;Office Supplies;Prismacolor Color Pencil Set
Anthony Johnson;Northwest Territories;Office Supplies;Xerox Blank Computer Paper
Ralph Knight;Northwest Territories;Technology;600 Series Flip
Allen Rosenblatt;Northwest Territories;Office Supplies;Fellowes Recycled Storage Drawers
Barry Weirich;Northwest Territories;Office Supplies;Satellite Sectional Post Binders
Doug Bickford;Northwest Territories;Furniture;Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting
Carl Jackson;Northwest Territories;Office Supplies;Avery 487
Brendan Dodson;Northwest Territories;Furniture;Bevis Round Conference Table Top & Single Column Base
Edward Hooks;Northwest Territories;Office Supplies;"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black"
Jamie Kunitz;Northwest Territories;Office Supplies;Hanging Personal Folder File
Jamie Kunitz;Northwest Territories;Furniture;Bevis Round Conference Table Top, X-Base
Michelle Lonsdale;Northwest Territories;Technology;5125
Michelle Lonsdale;Northwest Territories;Furniture;Electrix Halogen Magnifier Lamp
Brendan Dodson;Northwest Territories;Technology;Canon BP1200DH 12-Digit Bubble Jet Printing Calculator
Hunter Glantz;Northwest Territories;Office Supplies;Fellowes Black Plastic Comb Bindings
Sylvia Foulston;Northwest Territories;Technology;Polycom ViewStation™ Adapter H323 Videoconferencing Unit
Eugene Barchas;Northwest Territories;Furniture;Hon GuestStacker Chair
Jim Radford;Northwest Territories;Furniture;Eldon® Wave Desk Accessories
Carlos Soltero;Northwest Territories;Technology;Sharp AL-1530CS Digital Copier
Carlos Soltero;Northwest Territories;Office Supplies;Tennsco Lockers, Gray
Carlos Soltero;Northwest Territories;Office Supplies;Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White
Carlos Soltero;Northwest Territories;Office Supplies;Newell 323
Jim Radford;Northwest Territories;Furniture;Global Enterprise Series Seating High-Back Swivel/Tilt Chairs
Jim Radford;Northwest Territories;Office Supplies;Spiral Phone Message Books with Labels by Adams
Grant Carroll;Northwest Territories;Office Supplies;Crate-A-Files™
Grant Carroll;Northwest Territories;Technology;Bell Sonecor JB700 Caller ID
Skye Norling;Northwest Territories;Office Supplies;Holmes 99% HEPA Air Purifier
Doug Bickford;Northwest Territories;Office Supplies;Xerox 224
Grant Carroll;Northwest Territories;Office Supplies;Xerox 1906
Muhammed MacIntyre;Northwest Territories;Office Supplies;"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11"""
Muhammed MacIntyre;Northwest Territories;Office Supplies;Xerox 188
Muhammed MacIntyre;Northwest Territories;Office Supplies;Xerox 1932
Doug Bickford;Northwest Territories;Office Supplies;GBC Linen Binding Covers
Doug Bickford;Northwest Territories;Office Supplies;GBC Recycled Grain Textured Covers
Beth Thompson;Northwest Territories;Furniture;Sauder Facets Collection Library, Sky Alder Finish
Ralph Knight;Northwest Territories;Technology;Fellowes Basic 104-Key Keyboard, Platinum
Carl Jackson;Northwest Territories;Office Supplies;Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection
Carl Jackson;Northwest Territories;Furniture;O'Sullivan 3-Shelf Heavy-Duty Bookcases
Dorothy Badders;Northwest Territories;Furniture;G.E. Longer-Life Indoor Recessed Floodlight Bulbs
Dorothy Badders;Northwest Territories;Technology;Panasonic KX-P1150 Dot Matrix Printer
Dorothy Badders;Northwest Territories;Office Supplies;Newell 327
Delfina Latchford;Northwest Territories;Office Supplies;Xerox 1893
Julia West;Northwest Territories;Furniture;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back
Julia West;Northwest Territories;Furniture;Eldon Radial Chair Mat for Low to Medium Pile Carpets
Brad Eason;Northwest Territories;Furniture;DAX Copper Panel Document Frame, 5 x 7 Size
Thomas Seio;Northwest Territories;Furniture;O'Sullivan 2-Shelf Heavy-Duty Bookcases
Thomas Seio;Northwest Territories;Furniture;"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped"
Thomas Seio;Northwest Territories;Office Supplies;"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page"
Monica Federle;Northwest Territories;Technology;Memorex Slim 80 Minute CD-R, 10/Pack
Monica Federle;Northwest Territories;Furniture;Aluminum Document Frame
Michelle Lonsdale;Northwest Territories;Technology;Memorex 80 Minute CD-R Spindle, 100/Pack
Frank Price;Northwest Territories;Office Supplies;Multi-Use Personal File Cart and Caster Set, Three Stacking Bins
Frank Price;Northwest Territories;Technology;Accessory36
Bryan Davis;Northwest Territories;Office Supplies;Xerox 20
Don Jones;Northwest Territories;Office Supplies;Surelock™ Post Binders
Carlos Soltero;Northwest Territories;Office Supplies;Colorific® Watercolor Pencils
Carlos Soltero;Northwest Territories;Office Supplies;*Staples* vLetter Openers, 2/Pack
Nicole Hansen;Northwest Territories;Furniture;Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms
Nicole Hansen;Northwest Territories;Furniture;BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
Beth Thompson;Northwest Territories;Furniture;Eldon Econocleat® Chair Mats for Low Pile Carpets
Beth Thompson;Northwest Territories;Office Supplies;Prang Drawing Pencil Set
Beth Thompson;Northwest Territories;Technology;T39m
Nicole Hansen;Northwest Territories;Office Supplies;Xerox 1982
Carlos Soltero;Northwest Territories;Office Supplies;Xerox 1924
Carlos Soltero;Northwest Territories;Office Supplies;Turquoise Lead Holder with Pocket Clip
Dorothy Badders;Northwest Territories;Technology;Okidata ML395C Color Dot Matrix Printer
Muhammed MacIntyre;Northwest Territories;Furniture;Global Enterprise Series Seating High-Back Swivel/Tilt Chairs
Muhammed MacIntyre;Northwest Territories;Technology;Microsoft Internet Keyboard
Don Miller;Northwest Territories;Office Supplies;Xerox 1982
Sylvia Foulston;Northwest Territories;Furniture;Global Ergonomic Managers Chair
Becky Castell;Northwest Territories;Furniture;Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum
Dorothy Wardle;Northwest Territories;Office Supplies;Xerox 1971
Dorothy Wardle;Northwest Territories;Office Supplies;Eldon Portable Mobile Manager
Dorothy Wardle;Northwest Territories;Technology;Accessory6
Ann Chong;Northwest Territories;Office Supplies;Durable Pressboard Binders
Ann Chong;Northwest Territories;Technology;Fellowes 17-key keypad for PS/2 interface
Ann Chong;Northwest Territories;Technology;StarTAC ST7762
Clay Rozendal;Northwest Territories;Technology;Accessory21
Grant Carroll;Northwest Territories;Office Supplies;Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind
Brendan Dodson;Northwest Territories;Office Supplies;Staples 6 Outlet Surge
Carlos Daly;Northwest Territories;Office Supplies;Recycled Eldon Regeneration Jumbo File
Alan Barnes;Northwest Territories;Technology;Verbatim DVD-R 4.7GB authoring disc
Alan Barnes;Northwest Territories;Technology;Canon P1-DHIII Palm Printing Calculator
Alan Barnes;Northwest Territories;Office Supplies;GBC Binding covers
Nicole Hansen;Northwest Territories;Office Supplies;Newell 323
Cari Schnelling;Northwest Territories;Furniture;Global Stack Chair without Arms, Black
Chad Cunningham;Northwest Territories;Office Supplies;"Speediset Carbonless Redi-Letter® 7"" x 8 1/2"""
Bryan Mills;Northwest Territories;Office Supplies;GBC Recycled Regency Composition Covers
Bryan Mills;Northwest Territories;Technology;Accessory29
Adrian Hane;Northwest Territories;Office Supplies;Newell 323
Adrian Hane;Northwest Territories;Office Supplies;SANFORD Major Accent™ Highlighters
Rick Reed;Northwest Territories;Technology;Polycom ViaVideo™ Desktop Video Communications Unit
Heather Kirkland;Northwest Territories;Office Supplies;Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set
Fred Wasserman;Northwest Territories;Technology;Accessory24
Becky Castell;Northwest Territories;Furniture;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
Becky Castell;Northwest Territories;Office Supplies;Recycled Steel Personal File for Standard File Folders
Beth Thompson;Northwest Territories;Furniture;Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak
Claudia Miner;Northwest Territories;Technology;Accessory39
Jack Lebron;Northwest Territories;Technology;Bell Sonecor JB700 Caller ID
Alan Barnes;Northwest Territories;Office Supplies;"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes"
Carlos Soltero;Northwest Territories;Office Supplies;GBC Standard Plastic Binding Systems Combs
Clay Rozendal;Northwest Territories;Office Supplies;Xerox 1930
Clay Rozendal;Northwest Territories;Office Supplies;Avery 474
Julia West;Northwest Territories;Furniture;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish
Alan Barnes;Northwest Territories;Technology;Hewlett-Packard Deskjet 6122 Color Inkjet Printer
Joy Bell;Northwest Territories;Technology;IBM 80 Minute CD-R Spindle, 50/Pack
Joy Bell;Northwest Territories;Office Supplies;Peel & Seel® Recycled Catalog Envelopes, Brown
Joy Bell;Northwest Territories;Office Supplies;Avery 506
Jack Lebron;Northwest Territories;Office Supplies;Prang Drawing Pencil Set
Anthony Johnson;Northwest Territories;Technology;TDK 4.7GB DVD+RW
Anthony Johnson;Northwest Territories;Technology;U.S. Robotics 56K Internet Call Modem
Anthony Johnson;Northwest Territories;Office Supplies;Xerox 190
Eugene Barchas;Northwest Territories;Office Supplies;Standard Line™ “While You Were Out” Hardbound Telephone Message Book
Eugene Barchas;Northwest Territories;Technology;CF 888
Thomas Seio;Northwest Territories;Technology;Hewlett-Packard Deskjet 6122 Color Inkjet Printer
Bryan Mills;Northwest Territories;Furniture;Dana Halogen Swing-Arm Architect Lamp
Bryan Mills;Northwest Territories;Furniture;SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black
Eugene Barchas;Northwest Territories;Technology;Lexmark Z25 Color Inkjet Printer
Sylvia Foulston;Northwest Territories;Furniture;Hon Multipurpose Stacking Arm Chairs
Sylvia Foulston;Northwest Territories;Furniture;Hon Olson Stacker Stools
Carl Ludwig;Northwest Territories;Furniture;"Executive Impressions 14"" Two-Color Numerals Wall Clock"
Julia West;Northwest Territories;Furniture;12-1/2 Diameter Round Wall Clock
Don Jones;Northwest Territories;Technology;Epson DFX5000+ Dot Matrix Printer
Mike Pelletier;Northwest Territories;Technology;Fellowes Basic 104-Key Keyboard, Platinum
Mike Pelletier;Northwest Territories;Office Supplies;Recycled Interoffice Envelopes with String and Button Closure, 10 x 13
Eugene Barchas;Northwest Territories;Office Supplies;GBC Standard Therm-A-Bind Covers
Ann Chong;Northwest Territories;Technology;80 Minute CD-R Spindle, 100/Pack - Staples
Ann Chong;Northwest Territories;Office Supplies;Xerox 1892
Charles McCrossin;Northwest Territories;Office Supplies;Staples Paper Clips
Annie Cyprus;Northwest Territories;Furniture;Metal Folding Chairs, Beige, 4/Carton
Annie Cyprus;Northwest Territories;Technology;80 Minute Slim Jewel Case CD-R , 10/Pack - Staples
Carlos Soltero;Northwest Territories;Office Supplies;Computer Printout Paper with Letter-Trim Perforations
Doug Bickford;Northwest Territories;Furniture;Bush Mission Pointe Library
Carlos Daly;Northwest Territories;Furniture;Hon Olson Stacker Stools
Fred Wasserman;Northwest Territories;Office Supplies;Xerox 1929
Fred Wasserman;Northwest Territories;Office Supplies;Home/Office Personal File Carts
Sylvia Foulston;Northwest Territories;Office Supplies;Avery 507
Michelle Lonsdale;Northwest Territories;Technology;i470
Sylvia Foulston;Northwest Territories;Office Supplies;3M Organizer Strips
Sylvia Foulston;Northwest Territories;Technology;Imation 3.5 IBM Diskettes, 10/Box
Sylvia Foulston;Northwest Territories;Furniture;GE 4 Foot Flourescent Tube, 40 Watt
Sylvia Foulston;Northwest Territories;Technology;300 Series Non-Flip
Charlotte Melton;Northwest Territories;Furniture;"Executive Impressions 13"" Chairman Wall Clock"
Barry French;Northwest Territories;Technology;Micro Innovations 104 Keyboard
Heather Kirkland;Northwest Territories;Technology;US Robotics 56K V.92 External Faxmodem
Heather Kirkland;Northwest Territories;Office Supplies;Fellowes Staxonsteel® Drawer Files
Heather Kirkland;Northwest Territories;Technology;Accessory39
Henry Goldwyn;Northwest Territories;Furniture;Telescoping Adjustable Floor Lamp
Frank Price;Northwest Territories;Technology;Canon MP41DH Printing Calculator
Jim Radford;Northwest Territories;Office Supplies;Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish
Jim Radford;Northwest Territories;Technology;VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine
Ralph Knight;Northwest Territories;Office Supplies;Memo Book, 100 Message Capacity, 5 3/8” x 11”
Delfina Latchford;Northwest Territories;Office Supplies;Belkin 6 Outlet Metallic Surge Strip
Delfina Latchford;Northwest Territories;Office Supplies;Xerox 21
Roy Skaria;Northwest Territories;Office Supplies;GBC DocuBind TL200 Manual Binding Machine
Roy Skaria;Northwest Territories;Furniture;Sauder Forest Hills Library, Woodland Oak Finish
Monica Federle;Northwest Territories;Office Supplies;Xerox 1940
Monica Federle;Northwest Territories;Office Supplies;Bagged Rubber Bands
Charles McCrossin;Northwest Territories;Office Supplies;Xerox 1897
Don Miller;Northwest Territories;Office Supplies;Poly Designer Cover & Back
Jeremy Lonsdale;Northwest Territories;Office Supplies;Bionaire Personal Warm Mist Humidifier/Vaporizer
Jeremy Lonsdale;Northwest Territories;Office Supplies;"Acme® 8"" Straight Scissors"
Grant Carroll;Northwest Territories;Office Supplies;Heavy-Duty E-Z-D® Binders
Carl Ludwig;Northwest Territories;Office Supplies;Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright)
Carlos Daly;Northwest Territories;Office Supplies;Deluxe Rollaway Locking File with Drawer
Ralph Knight;Northwest Territories;Technology;252
Cindy Schnelling;Northwest Territories;Technology;6160
Claudia Miner;Northwest Territories;Technology;Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack
Roy Skaria;Northwest Territories;Office Supplies;Prismacolor Color Pencil Set
Delfina Latchford;Northwest Territories;Office Supplies;Wilson Jones DublLock® D-Ring Binders
Edward Hooks;Northwest Territories;Office Supplies;Binder Posts
Edward Hooks;Northwest Territories;Technology;Epson LQ-570e Dot Matrix Printer
Don Miller;Northwest Territories;Furniture;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors
Grant Carroll;Northwest Territories;Office Supplies;Fellowes PB300 Plastic Comb Binding Machine
Grant Carroll;Northwest Territories;Furniture;Rush Hierlooms Collection Rich Wood Bookcases
Brad Eason;Northwest Territories;Office Supplies;Avery 481
Charles McCrossin;Northwest Territories;Technology;Sharp AL-1530CS Digital Copier
Charles McCrossin;Northwest Territories;Office Supplies;SAFCO Commercial Wire Shelving, Black
Charles McCrossin;Northwest Territories;Office Supplies;"Avery Trapezoid Extra Heavy Duty 4"" Binders"
Charles McCrossin;Northwest Territories;Office Supplies;Self-Adhesive Address Labels for Typewriters by Universal
Bryan Mills;Northwest Territories;Technology;StarTAC Series
Monica Federle;Northwest Territories;Office Supplies;"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4"
Michelle Lonsdale;Northwest Territories;Furniture;Dana Halogen Swing-Arm Architect Lamp
Michelle Lonsdale;Northwest Territories;Furniture;Global Comet™ Stacking Armless Chair
Michelle Lonsdale;Northwest Territories;Furniture;Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs
Michelle Lonsdale;Northwest Territories;Technology;Fellowes Internet Keyboard, Platinum
Beth Thompson;Northwest Territories;Office Supplies;Deluxe Rollaway Locking File with Drawer
Cindy Schnelling;Northwest Territories;Furniture;Luxo Economy Swing Arm Lamp
Cindy Schnelling;Northwest Territories;Office Supplies;*Staples* vLetter Openers, 2/Pack
Nicole Hansen;Northwest Territories;Office Supplies;Staples 6 Outlet Surge
Nicole Hansen;Northwest Territories;Office Supplies;Acco Perma® 2700 Stacking Storage Drawers
Nicole Hansen;Northwest Territories;Office Supplies;Fellowes Stor/Drawer® Steel Plus™ Storage Drawers
Cari Schnelling;Northwest Territories;Office Supplies;Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room
Cari Schnelling;Northwest Territories;Technology;Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus
Roy Skaria;Northwest Territories;Office Supplies;Lock-Up Easel 'Spel-Binder'
Susan Vittorini;Northwest Territories;Office Supplies;"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages"
Susan Vittorini;Northwest Territories;Office Supplies;Tenex File Box, Personal Filing Tote with Lid, Black
Sylvia Foulston;Northwest Territories;Office Supplies;Fellowes Black Plastic Comb Bindings
Sylvia Foulston;Northwest Territories;Office Supplies;Assorted Color Push Pins
Chad Cunningham;Northwest Territories;Office Supplies;HP Office Paper (20Lb. and 87 Bright)
Chad Cunningham;Northwest Territories;Office Supplies;Staples Vinyl Coated Paper Clips
Carlos Daly;Northwest Territories;Technology;Canon MP41DH Printing Calculator
Carlos Daly;Northwest Territories;Office Supplies;Newell 310
Grant Carroll;Northwest Territories;Office Supplies;Kensington 7 Outlet MasterPiece Power Center
Julia West;Northwest Territories;Furniture;DAX Metal Frame, Desktop, Stepped-Edge
Roy Skaria;Northwest Territories;Furniture;Bush Mission Pointe Library
Cindy Schnelling;Northwest Territories;Technology;Accessory21
Don Jones;Northwest Territories;Technology;8860
Beth Thompson;Northwest Territories;Office Supplies;Array® Memo Cubes
Beth Thompson;Northwest Territories;Office Supplies;"Fiskars 8"" Scissors, 2/Pack"
Alan Barnes;Northwest Territories;Office Supplies;12 Colored Short Pencils
Alan Barnes;Northwest Territories;Office Supplies;Pizazz® Global Quick File™
Carl Ludwig;Northwest Territories;Technology;Imation 5.2GB DVD-RAM
Carl Ludwig;Northwest Territories;Office Supplies;Acco Perma® 2700 Stacking Storage Drawers
Carl Ludwig;Northwest Territories;Office Supplies;Portable Personal File Box
Jamie Kunitz;Northwest Territories;Office Supplies;Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate
Heather Kirkland;Northwest Territories;Office Supplies;Ibico Covers for Plastic or Wire Binding Elements
Heather Kirkland;Northwest Territories;Office Supplies;Hanging Personal Folder File
Heather Kirkland;Northwest Territories;Office Supplies;Tennsco Double-Tier Lockers
Doug Bickford;Northwest Territories;Office Supplies;"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book"
Doug Bickford;Northwest Territories;Office Supplies;"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut"
Doug Bickford;Northwest Territories;Technology;"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack"
Doug Bickford;Northwest Territories;Technology;PC Concepts 116 Key Quantum 3000 Keyboard
Carlos Daly;Northwest Territories;Technology;Epson Stylus 1520 Color Inkjet Printer
Toby Braunhardt;Northwest Territories;Office Supplies;Avery 494
Toby Braunhardt;Northwest Territories;Office Supplies;Self-Adhesive Address Labels for Typewriters by Universal
Toby Braunhardt;Northwest Territories;Technology;Accessory37
Cari Schnelling;Northwest Territories;Office Supplies;Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders
Thomas Seio;Northwest Territories;Office Supplies;Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac
Thomas Seio;Northwest Territories;Technology;AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting
Thomas Seio;Northwest Territories;Office Supplies;Peel & Seel® Recycled Catalog Envelopes, Brown
Brendan Dodson;Northwest Territories;Office Supplies;Cardinal Poly Pocket Divider Pockets for Ring Binders
Brendan Dodson;Northwest Territories;Technology;Canon PC1060 Personal Laser Copier
Charlotte Melton;Northwest Territories;Office Supplies;Sterling Rubber Bands by Alliance
Beth Thompson;Northwest Territories;Office Supplies;Newell 312
Beth Thompson;Northwest Territories;Furniture;BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
Eugene Barchas;Northwest Territories;Technology;"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack"
